age,sex,income,sib_num,sib_order,family_conflict,family_mental_health,peer_victimization,school_safety,neighborhood_safety,adi,structural_stigma
9.083333333333334,F,6,1,2,2,0,10,22.75,3.6666666666666665,24,1.0425177
10.833333333333334,F,9,1,1,4.5,0,12.5,20,4.666666666666667,9,-0.7891287
10.666666666666666,M,6.5,0,1,0.5,0,9,20,4.333333333333333,33,-0.12828442
9.666666666666666,F,1.6666666666666667,4,2,4,0,11.5,16.5,3.3333333333333335,68,-0.6193691
10.916666666666666,F,9.5,3,4,2.25,0,10.5,19,4.666666666666667,26,-0.16266835
11,F,6.75,0,1,3.5,0,9.5,19.5,3.3333333333333335,65,-0.12828442
9.916666666666666,F,4,2,2,1.5,0,13.5,18.25,2.3333333333333335,68,0.413664
9,F,9,2,1,0,0,12,21,5,23,-0.12828442
10.5,M,8.5,4,2,4.75,0,10,20.75,4.666666666666667,29,-0.7891287
10.25,M,4.75,0,1,5,0,17,14.25,3.6666666666666665,66,-0.12828442
10.666666666666666,M,6.5,1,1,0.5,1,14,19.75,2.3333333333333335,44,-1.1650348
9.083333333333334,F,8,3,1,2.25,0,12.5,22,5,49,0.18910469
9.25,M,2.25,1,1,5.25,0,10,19.5,1.6666666666666667,86,1.0961658
10.916666666666666,F,7,0,1,1,0,11,21.25,4.666666666666667,58,0.18910469
10.916666666666666,M,4.666666666666667,1,1,0.25,0,12.5,19.75,3.6666666666666665,19,-1.3974755
9,F,9,2,2,2.25,0,9.5,19,4,14,-0.6193691
10.833333333333334,M,9.5,3,2,4,0,11.5,20,4.666666666666667,27,0.18910469
10.666666666666666,M,7.25,0,1,2,0,15,20.75,3.6666666666666665,82,-0.12828442
10.166666666666666,M,2.75,3,4,4.25,1,25.5,18,2.6666666666666665,93,1.0517093
9.666666666666666,F,6.75,0,1,1,0,10,19,3.3333333333333335,98,0.18910469
9.75,F,10,1,1,1.5,0,11,22.75,4.333333333333333,2,-1.3974755
10.166666666666666,F,8.25,1,1,1.25,0,15,19.5,4.333333333333333,7,-1.3974755
9.916666666666666,M,9,1,1,5.5,0,9,22.75,3.6666666666666665,31,-0.3676427
9.75,M,9.75,2,2,2.75,0,10.5,19.5,4.333333333333333,30,-0.3676427
9.5,F,10,0,1,0.75,0,12.5,18.5,4.333333333333333,46,1.0961658
9.5,F,10,1,1,0.5,0,9.5,19.5,4.666666666666667,28,-0.12828442
10.25,M,9,0,1,1.25,0,12.5,14.75,4.666666666666667,29,-1.1650348
9.5,M,2.6666666666666665,1,2,3.75,0,11,19.75,3,70,0.3220071
9.5,F,9.75,1,2,2.5,0,9.5,20,4.333333333333333,1,-1.3974755
10.75,M,4.5,2,3,3.5,0,9,18.5,4.666666666666667,22,-1.3974755
9.083333333333334,M,8.25,2,1,4.25,0,12.5,15.5,3.6666666666666665,71,1.0425177
10.166666666666666,M,10,2,1,1.25,0,10.5,21.5,5,1,-1.3974755
9,M,9,1,2,0.25,1,12.5,19.5,4.666666666666667,28,0.18910469
10.083333333333334,F,10,1,2,1.25,0,9.5,21,5,1,-1.3974755
10.416666666666666,F,7.25,1,1,3.5,0,16.5,17.25,3.6666666666666665,41,-1.1650348
9.5,M,9,0,1,0.25,0,13,17.5,4.333333333333333,50,-0.6193691
9.083333333333334,F,6.5,0,1,2.5,0,14,18.75,3,51,-0.6193691
10.25,M,2.6666666666666665,1,2,3,0,10,16,3.6666666666666665,89,-0.12828442
10.083333333333334,M,9,3,1,2.75,0,9,22.25,5,75,-1.2795755
10.25,F,9,1,1,0.5,0,20,22.75,3.3333333333333335,28,-0.8287912
9.25,M,9.75,1,1,0.75,0,12,20,4.333333333333333,1,-1.3974755
10.916666666666666,M,1,4,4,2,0,10,22.75,4.666666666666667,68,1.0517093
10.916666666666666,M,9.25,1,1,1,0,9.5,20,4,5,-0.7891287
9.666666666666666,M,9,1,2,2,0,9,20.75,3.6666666666666665,36,-1.3770518
9.833333333333334,F,8.5,1,1,1.75,0,10,19.5,3,24,-0.3676427
9.666666666666666,M,6.75,0,1,0.75,0,12,21.25,4.666666666666667,18,1.0425177
10.5,F,8,2,1,0.75,0,11.5,22.25,4.333333333333333,35,0.413664
9.333333333333334,M,7,4,2,2.75,0,13.5,22,4.333333333333333,56,1.0425177
10.583333333333334,M,8.75,0,1,3.75,0,14,18.75,4.333333333333333,27,0.413664
10.666666666666666,F,4.5,3,3,2,0,16.5,22,3.6666666666666665,42,-1.3974755
9.333333333333334,F,8.75,2,2,4.25,0,11.5,20.75,4.333333333333333,91,-0.7891287
